Seed,Mass Variation Scale,Average MSE,IRE Prediction Accuracy (%),Average Coherence
131,0.05,4.283673974126331e-06,100.0,13.150877585197833
242,0.05,1.3849423248918023e-06,100.0,118.12681004006447
353,0.05,4.608908653604673e-08,100.0,27.4995189184572
464,0.05,1.0963453394062738e-05,100.0,7.822203664757724
575,0.05,4.2028733664371347e-07,100.0,48.11537355269492
